procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 51405508 179484 10922880    0    0     0    15    0    0  1  1 98  0  0
 0  0      0 51405344 179484 10922968    0    0     0     0 3758 5588  0  0 99  0  0
 0  0      2 51405236 179484 10923012    0    0     0     5 4438 6339  1  0 99  0  0
 1  0      2 51403920 179484 10923064    8    0     0   143 4628 6033  0  0 99  0  0
 0  2      2 51400952 179484 10926088    8    0     0  3334 4625 6104  1  0 99  0  0
 0  2      2 51402312 179484 10923168    8    0     0     0 4177 5561  1  0 99  0  0
 0  2      2 51404268 179484 10923220    8    0     0     0 4440 5911  0  0 99  0  0
 0  2      2 51404592 179484 10923268    8    0     0     0 4266 6163  0  0 99  0  0
 0  2      5 51404360 179484 10923332    4    0     0  1295 3960 5845  0  0 99  0  0
 0  2      5 51404224 179484 10923344    4    0     0     1 4019 5832  1  0 99  0  0
 0  2      5 51404508 179484 10923392    4    0     0     0 4272 5799  1  1 99  0  0
 0  2      5 51404032 179484 10923448    4    0     0     0 4432 5948  1  1 99  0  0
 0  2      5 51404192 179484 10923492    4    0     0     0 3893 5779  0  0 99  0  0
 0  4      5 51403880 179484 10923528    4    0     0    94 3842 5671  0  0 99  0  0
 0  4      5 51403976 179484 10923560    4    0     0   565 3667 5458  0  0 99  0  0
 0  4      5 51404040 179484 10923624    4    0     0     1 4248 5626  1  1 99  0  0
 0  4      5 51404072 179484 10923672    4    0     0     0 3867 5698  0  0 99  0  0
 0  4      0 51403372 179484 10923736    0    0     0     5 4533 6445  1  0 99  0  0
 0  0      0 51404272 179484 10923780    0    0     0   119 3942 5870  1  0 99  0  0
 0  0      0 51404040 179484 10923820    0    0     0     0 4116 5989  1  0 99  0  0
 0  0      0 51403020 179484 10923852    0    0     0     0 3874 5820  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
